mse1      (p2point),"mse1,PSNR (p2point)",mse1      (p2plane),"mse1,PSNR (p2plane)",h.       1(p2point),"h.,PSNR  1(p2point)",mse2      (p2point),"mse2,PSNR (p2point)",mse2      (p2plane),"mse2,PSNR (p2plane)",h.       2(p2point),"h.,PSNR  2(p2point)",mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",h.        (p2point),"h.,PSNR   (p2point)",num_points(input),num_points(output),resolution,bits,bpp,bpp(coords),bpp(feats),time(enc),time(dec)
0.380915,69.1604,0.170904,72.6412,68.0,46.6436,0.318687,69.9351,0.180336,72.4079,20.0,51.9584,0.380915,69.1604,0.180336,72.4079,68.0,46.6436,857966,857966,1024,69960,0.081,0.024,0.057,1.114,1.093
0.255502,70.8948,0.101963,74.8843,65.0,46.8396,0.215984,71.6245,0.107063,74.6723,19.0,52.1812,0.255502,70.8948,0.107063,74.6723,65.0,46.8396,857966,857966,1024,100776,0.117,0.024,0.093,0.484,1.06
0.115668,74.3366,0.0432542,78.6084,29.0,50.3447,0.110856,74.5211,0.0455977,78.3793,6.0,57.1872,0.115668,74.3366,0.0455977,78.3793,29.0,50.3447,857966,857966,1024,228872,0.266,0.024,0.242,0.432,1.168
0.0851735,75.6657,0.0300661,80.188,18.0,52.416,0.0832329,75.7658,0.0322103,79.8888,6.0,57.1872,0.0851735,75.6657,0.0322103,79.8888,18.0,52.416,857966,857966,1024,359640,0.418,0.024,0.394,0.463,1.135
0.0783516,76.0282,0.02726,80.6135,17.0,52.6642,0.0751708,76.2082,0.0289715,80.349,6.0,57.1872,0.0783516,76.0282,0.0289715,80.349,17.0,52.6642,857966,857966,1024,472832,0.55,0.024,0.526,0.536,1.088
0.0546397,77.5936,0.0182204,82.3632,9.0,55.4263,0.0536968,77.6692,0.0195044,82.0674,6.0,57.1872,0.0546397,77.5936,0.0195044,82.0674,9.0,55.4263,857966,857966,1024,756160,0.881,0.024,0.857,0.521,1.27
