mse1      (p2point),"mse1,PSNR (p2point)",mse1      (p2plane),"mse1,PSNR (p2plane)",h.       1(p2point),"h.,PSNR  1(p2point)",mse2      (p2point),"mse2,PSNR (p2point)",mse2      (p2plane),"mse2,PSNR (p2plane)",h.       2(p2point),"h.,PSNR  2(p2point)",mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",h.        (p2point),"h.,PSNR   (p2point)",num_points(input),num_points(output),resolution,bits,bpp,bpp(coords),bpp(feats),time(enc),time(dec)
0.475703,62.1663,0.17445,66.5229,549.0,31.5439,0.380174,63.1398,0.214352,65.6284,25.0,44.9602,0.475703,62.1663,0.214352,65.6284,549.0,31.5439,356258,356258,512,30792,0.085,0.026,0.059,0.995,0.555
0.384623,63.0893,0.124876,67.9748,558.0,31.4733,0.296819,64.2147,0.15864,66.9355,14.0,47.4784,0.384623,63.0893,0.15864,66.9355,558.0,31.4733,356258,356258,512,44432,0.124,0.026,0.098,0.349,0.549
0.187519,66.2092,0.0661392,70.735,21.0,45.7174,0.183813,66.2959,0.084036,69.695,10.0,48.9396,0.187519,66.2092,0.084036,69.695,21.0,45.7174,356258,356258,512,105576,0.295,0.026,0.269,0.309,0.515
0.148814,67.2132,0.0511499,71.8512,8.0,49.9087,0.148115,67.2337,0.0636361,70.9026,5.0,51.9499,0.148814,67.2132,0.0636361,70.9026,8.0,49.9087,356258,356258,512,164848,0.462,0.026,0.436,0.364,0.59
0.165433,66.7534,0.0553821,71.5059,36.0,43.3766,0.162205,66.839,0.0728466,70.3155,6.0,51.1581,0.165433,66.7534,0.0728466,70.3155,36.0,43.3766,356258,356258,512,181120,0.507,0.026,0.481,0.352,0.625
0.121145,68.1066,0.0391062,73.0172,11.0,48.5257,0.11938,68.1703,0.0490913,72.0296,5.0,51.9499,0.121145,68.1066,0.0490913,72.0296,11.0,48.5257,356258,356258,512,296552,0.831,0.026,0.805,0.361,0.531
