mse1      (p2point),"mse1,PSNR (p2point)",mse1      (p2plane),"mse1,PSNR (p2plane)",h.       1(p2point),"h.,PSNR  1(p2point)",mse2      (p2point),"mse2,PSNR (p2point)",mse2      (p2plane),"mse2,PSNR (p2plane)",h.       2(p2point),"h.,PSNR  2(p2point)",mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",h.        (p2point),"h.,PSNR   (p2point)",num_points(input),num_points(output),resolution,bits,bpp,bpp(coords),bpp(feats),time(enc),time(dec)
0.222392,77.5224,0.101019,80.9495,64.0,52.9318,0.213251,77.7047,0.10521,80.773,12.0,60.2018,0.222392,77.5224,0.10521,80.773,64.0,52.9318,2925514,2925514,2048,200928,0.069,0.02,0.049,95.295,195.574
0.165591,78.8032,0.0680207,82.6672,69.0,52.6051,0.157055,79.033,0.0706221,82.5042,9.0,61.4511,0.165591,78.8032,0.0706221,82.5042,69.0,52.6051,2925514,2925514,2048,288976,0.099,0.02,0.079,83.463,219.641
0.0816322,81.875,0.0297615,86.257,20.0,57.9833,0.0804477,81.9384,0.0311265,86.0623,5.0,64.0039,0.0816322,81.875,0.0311265,86.0623,20.0,57.9833,2925514,2925514,2048,684936,0.234,0.02,0.214,79.86,208.378
0.0603877,83.1841,0.0211201,87.7466,13.0,59.8541,0.0600435,83.2089,0.0220905,87.5515,4.0,64.973,0.0603877,83.1841,0.0220905,87.5515,13.0,59.8541,2925514,2925514,2048,1103688,0.378,0.02,0.358,79.203,212.407
0.0513742,83.8861,0.0178593,88.4749,5.0,64.0039,0.0513503,83.8881,0.01863,88.2915,4.0,64.973,0.0513742,83.8861,0.01863,88.2915,5.0,64.0039,2925514,2925514,2048,1552880,0.531,0.02,0.511,77.917,207.966
0.0354228,85.5007,0.0119003,90.238,3.0,66.2224,0.0354098,85.5023,0.0122453,90.1139,2.0,67.9833,0.0354228,85.5007,0.0122453,90.1139,3.0,66.2224,2925514,2925514,2048,2476312,0.847,0.02,0.827,78.412,232.087
